checking_date,departing_date,trip_type,pax_count,departing_airport,arriving_airport,flight,departing_time,arrival_time,fare_name,price_after_promo,currency
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2438,23:55,01:15,PrimeFly,5505.73,TRY
2026-05-18,2026-08-08,OW,1,IST,AYT,TK2438,23:55,01:15,Business,13570.43,TRY
2026-05-18,2026-08-08,OW,1,IST,NAV,TK2092,02:00,03:15,EcoFly,3005.73,TRY
2026-05-18,2026-08-08,OW,1,IST,NAV,TK2092,02:00,03:15,ExtraFly,3705.73,TRY
2026-05-18,2026-08-08,OW,1,IST,NAV,TK2092,02:00,03:15,PrimeFly,4005.73,TRY
2026-05-18,2026-08-08,OW,1,IST,NAV,TK2000,06:25,07:40,EcoFly,4505.73,TRY
2026-05-18,2026-08-08,OW,1,IST,NAV,TK2000,06:25,07:40,ExtraFly,5305.73,TRY
2026-05-18,2026-08-08,OW,1,IST,NAV,TK2000,06:25,07:40,PrimeFly,5605.73,TRY
2026-05-18,2026-08-08,OW,1,IST,NAV,TK2002,08:15,09:35,EcoFly,4505.73,TRY
2026-05-18,2026-08-08,OW,1,IST,NAV,TK2002,08:15,09:35,ExtraFly,5305.73,TRY
2026-05-18,2026-08-08,OW,1,IST,NAV,TK2002,08:15,09:35,PrimeFly,5605.73,TRY
2026-05-18,2026-08-08,OW,1,IST,NAV,TK2008,19:00,20:20,EcoFly,4505.73,TRY
