checking_date,departing_date,trip_type,pax_count,departing_airport,arriving_airport,flight,departing_time,arrival_time,fare_name,price,currency
2026-07-22,Aug 14 (Fri),OW,1,HND,GMP,NH861,8:40a.m.,11:05a.m.,Economy Standard,736.10,USD
2026-07-22,Aug 14 (Fri),OW,1,HND,GMP,NH861,8:40a.m.,11:05a.m.,Economy Standard,780.10,USD
2026-07-22,Aug 14 (Fri),OW,1,HND,GMP,NH861,8:40a.m.,11:05a.m.,Economy Standard,1106.10,USD
2026-07-22,Aug 14 (Fri),OW,1,HND,GMP,NH865,4:10p.m.,6:35p.m.,Economy Standard,736.10,USD
2026-07-22,Aug 14 (Fri),OW,1,HND,GMP,NH865,4:10p.m.,6:35p.m.,Economy Standard,780.10,USD
2026-07-22,Aug 14 (Fri),OW,1,HND,GMP,NH865,4:10p.m.,6:35p.m.,Economy Standard,1106.10,USD
2026-07-22,Aug 14 (Fri),OW,1,HND,GMP,NH867,8:05p.m.,10:20p.m.,Economy Standard,712.10,USD
2026-07-22,Aug 14 (Fri),OW,1,HND,GMP,NH867,8:05p.m.,10:20p.m.,Economy Standard,755.10,USD
2026-07-22,Aug 14 (Fri),OW,1,HND,GMP,NH867,8:05p.m.,10:20p.m.,Economy Standard,1075.10,USD
2026-07-22,Aug 14 (Fri),OW,1,HND,GMP,NH6983,9:00a.m.,11:20a.m.,Economy Standard,965.50,USD
2026-07-22,Aug 14 (Fri),OW,1,HND,GMP,NH6983,9:00a.m.,11:20a.m.,Economy Standard,1008.50,USD
2026-07-22,Aug 14 (Fri),OW,1,HND,GMP,NH6983,9:00a.m.,11:20a.m.,Economy Standard,1107.50,USD
2026-07-22,Aug 14 (Fri),OW,1,HND,GMP,NH6967,12:05p.m.,2:25p.m.,Economy Standard,965.50,USD
2026-07-22,Aug 14 (Fri),OW,1,HND,GMP,NH6967,12:05p.m.,2:25p.m.,Economy Standard,1008.50,USD
2026-07-22,Aug 14 (Fri),OW,1,HND,GMP,NH6967,12:05p.m.,2:25p.m.,Economy Standard,1107.50,USD
2026-07-22,Aug 14 (Fri),OW,1,HND,GMP,NH6969,8:05p.m.,10:25p.m.,Economy Standard,965.50,USD
2026-07-22,Aug 14 (Fri),OW,1,HND,GMP,NH6969,8:05p.m.,10:25p.m.,Economy Standard,1008.50,USD
2026-07-22,Aug 14 (Fri),OW,1,HND,GMP,NH6969,8:05p.m.,10:25p.m.,Economy Standard,1107.50,USD
2026-07-22,Aug 14 (Fri),OW,1,HND,GMP,NH6957,7:25a.m.,1:10p.m.,Economy Standard,1280.50,USD
2026-07-22,Aug 14 (Fri),OW,1,HND,GMP,NH6957,7:25a.m.,1:10p.m.,Economy Standard,1323.50,USD
2026-07-22,Aug 14 (Fri),OW,1,HND,GMP,NH6957,7:25a.m.,1:10p.m.,Economy Standard,1085.50,USD
2026-07-22,Aug 14 (Fri),OW,1,HND,GMP,NH6979,4:25p.m.,10:25p.m.,Economy Standard,1280.50,USD
2026-07-22,Aug 14 (Fri),OW,1,HND,GMP,NH6979,4:25p.m.,10:25p.m.,Economy Standard,1323.50,USD
2026-07-22,Aug 14 (Fri),OW,1,HND,GMP,NH6979,4:25p.m.,10:25p.m.,Economy Standard,1085.50,USD
2026-07-22,Aug 14 (Fri),OW,1,HND,GMP,NH6957,6:20a.m.,1:10p.m.,Economy Standard,1279.20,USD
2026-07-22,Aug 14 (Fri),OW,1,HND,GMP,NH6957,6:20a.m.,1:10p.m.,Economy Standard,1322.20,USD
2026-07-22,Aug 14 (Fri),OW,1,HND,GMP,NH6957,6:20a.m.,1:10p.m.,Economy Standard,1084.20,USD
2026-07-22,Aug 14 (Fri),OW,1,HND,GMP,NH6979,3:15p.m.,10:25p.m.,Economy Standard,1280.50,USD
2026-07-22,Aug 14 (Fri),OW,1,HND,GMP,NH6979,3:15p.m.,10:25p.m.,Economy Standard,1323.50,USD
2026-07-22,Aug 14 (Fri),OW,1,HND,GMP,NH6979,3:15p.m.,10:25p.m.,Economy Standard,1085.50,USD
2026-07-22,Aug 14 (Fri),OW,1,HND,GMP,NH6979,2:50p.m.,10:25p.m.,Economy Standard,1279.20,USD
2026-07-22,Aug 14 (Fri),OW,1,HND,GMP,NH6979,2:50p.m.,10:25p.m.,Economy Standard,1322.20,USD
2026-07-22,Aug 14 (Fri),OW,1,HND,GMP,NH6979,2:50p.m.,10:25p.m.,Economy Standard,1084.20,USD
2026-07-22,Aug 14 (Fri),OW,1,HND,GMP,NH6979,2:00p.m.,10:25p.m.,Economy Standard,1279.20,USD
2026-07-22,Aug 14 (Fri),OW,1,HND,GMP,NH6979,2:00p.m.,10:25p.m.,Economy Standard,1322.20,USD
2026-07-22,Aug 14 (Fri),OW,1,HND,GMP,NH6979,2:00p.m.,10:25p.m.,Economy Standard,1084.20,USD
2026-07-22,Aug 14 (Fri),OW,1,HND,GMP,NH6979,2:00p.m.,10:25p.m.,Economy Flex,712.10,USD
2026-07-22,Aug 12 (Wed),OW,1,HND,GMP,NH861,8:40a.m.,11:05a.m.,Economy Standard,736.10,USD
2026-07-22,Aug 12 (Wed),OW,1,HND,GMP,NH861,8:40a.m.,11:05a.m.,Economy Standard,780.10,USD
2026-07-22,Aug 12 (Wed),OW,1,HND,GMP,NH861,8:40a.m.,11:05a.m.,Economy Standard,1106.10,USD
2026-07-22,Aug 12 (Wed),OW,1,HND,GMP,NH865,4:10p.m.,6:35p.m.,Economy Standard,736.10,USD
2026-07-22,Aug 12 (Wed),OW,1,HND,GMP,NH865,4:10p.m.,6:35p.m.,Economy Standard,780.10,USD
2026-07-22,Aug 12 (Wed),OW,1,HND,GMP,NH865,4:10p.m.,6:35p.m.,Economy Standard,1106.10,USD
2026-07-22,Aug 12 (Wed),OW,1,HND,GMP,NH867,8:05p.m.,10:20p.m.,Economy Standard,712.10,USD
2026-07-22,Aug 12 (Wed),OW,1,HND,GMP,NH867,8:05p.m.,10:20p.m.,Economy Standard,755.10,USD
2026-07-22,Aug 12 (Wed),OW,1,HND,GMP,NH867,8:05p.m.,10:20p.m.,Economy Standard,1075.10,USD
2026-07-22,Aug 12 (Wed),OW,1,HND,GMP,NH6983,9:00a.m.,11:20a.m.,Economy Standard,965.50,USD
2026-07-22,Aug 12 (Wed),OW,1,HND,GMP,NH6983,9:00a.m.,11:20a.m.,Economy Standard,1008.50,USD
2026-07-22,Aug 12 (Wed),OW,1,HND,GMP,NH6983,9:00a.m.,11:20a.m.,Economy Standard,1107.50,USD
2026-07-22,Aug 12 (Wed),OW,1,HND,GMP,NH6967,12:05p.m.,2:25p.m.,Economy Standard,965.50,USD
2026-07-22,Aug 12 (Wed),OW,1,HND,GMP,NH6967,12:05p.m.,2:25p.m.,Economy Standard,1008.50,USD
2026-07-22,Aug 12 (Wed),OW,1,HND,GMP,NH6967,12:05p.m.,2:25p.m.,Economy Standard,1107.50,USD
2026-07-22,Aug 12 (Wed),OW,1,HND,GMP,NH6969,8:05p.m.,10:25p.m.,Economy Standard,965.50,USD
2026-07-22,Aug 12 (Wed),OW,1,HND,GMP,NH6969,8:05p.m.,10:25p.m.,Economy Standard,1008.50,USD
2026-07-22,Aug 12 (Wed),OW,1,HND,GMP,NH6969,8:05p.m.,10:25p.m.,Economy Standard,1107.50,USD
2026-07-22,Aug 12 (Wed),OW,1,HND,GMP,NH6957,7:25a.m.,1:10p.m.,Economy Standard,1280.50,USD
2026-07-22,Aug 12 (Wed),OW,1,HND,GMP,NH6957,7:25a.m.,1:10p.m.,Economy Standard,1323.50,USD
2026-07-22,Aug 12 (Wed),OW,1,HND,GMP,NH6957,7:25a.m.,1:10p.m.,Economy Standard,1085.50,USD
2026-07-22,Aug 12 (Wed),OW,1,HND,GMP,NH6979,4:25p.m.,10:25p.m.,Economy Standard,1280.50,USD
2026-07-22,Aug 12 (Wed),OW,1,HND,GMP,NH6979,4:25p.m.,10:25p.m.,Economy Standard,1323.50,USD
2026-07-22,Aug 12 (Wed),OW,1,HND,GMP,NH6979,4:25p.m.,10:25p.m.,Economy Standard,1085.50,USD
2026-07-22,Aug 12 (Wed),OW,1,HND,GMP,NH6957,6:20a.m.,1:10p.m.,Economy Standard,1279.20,USD
2026-07-22,Aug 12 (Wed),OW,1,HND,GMP,NH6957,6:20a.m.,1:10p.m.,Economy Standard,1322.20,USD
2026-07-22,Aug 12 (Wed),OW,1,HND,GMP,NH6957,6:20a.m.,1:10p.m.,Economy Standard,1084.20,USD
2026-07-22,Aug 12 (Wed),OW,1,HND,GMP,NH6979,3:15p.m.,10:25p.m.,Economy Standard,1280.50,USD
2026-07-22,Aug 12 (Wed),OW,1,HND,GMP,NH6979,3:15p.m.,10:25p.m.,Economy Standard,1323.50,USD
